Surah_Number,Name,Top_Neighbor_1,Top_Neighbor_2,Top_Neighbor_3
1,Al-Fatihah,Al-Kawthar (108),Al-Hashr (59),Al-Ahzab (33)
2,Al-Baqarah,Ghafir (40),Ar-Ra'd (13),Ash-Shura (42)
3,Ali 'Imran,Ghafir (40),An-Nisa (4),Al-Ma'idah (5)
4,An-Nisa,At-Tahrim (66),Ash-Shams (91),At-Tin (95)
5,Al-Ma'idah,Al-Muzzammil (73),Muhammad (47),Al-Mumtahanah (60)
6,Al-An'am,An-Naml (27),Al-Qasas (28),At-Takwir (81)
7,Al-A'raf,Ash-Shu'ara (26),An-Naml (27),Hud (11)
8,Al-Anfal,Al-Fath (48),As-Saff (61),Al-Asr (103)
9,At-Tawbah,An-Nur (24),Al-Hajj (22),Ali 'Imran (3)
10,Yunus,Al-Ahqaf (46),Al-Hadid (57),Ash-Shura (42)
11,Hud,An-Naml (27),Al-Ahqaf (46),Ash-Shu'ara (26)
12,Yusuf,Ad-Dukhan (44),As-Saffat (37),Al-Fajr (89)
13,Ar-Ra'd,Ash-Shura (42),Al-Hadid (57),Yunus (10)
14,Ibrahim,Al-Ankabut (29),Az-Zumar (39),An-Nahl (16)
15,Al-Hijr,Al-Isra (17),Saba (34),Sad (38)
16,An-Nahl,Al-Hadid (57),Al-Ankabut (29),Yunus (10)
17,Al-Isra,Ta-Ha (20),Abasa (80),Al-Qiyamah (75)
18,Al-Kahf,Ta-Ha (20),Az-Zukhruf (43),Al-Isra (17)
19,Maryam,Al-Muddaththir (74),Ad-Dukhan (44),Yusuf (12)
20,Ta-Ha,Al-Kahf (18),Al-Inshiqaq (84),Al-Buruj (85)
21,Al-Anbiya,Az-Zukhruf (43),Fussilat (41),Qaf (50)
22,Al-Hajj,As-Saff (61),Al-Asr (103),Al-Fath (48)
23,Al-Mu'minun,Ash-Shu'ara (26),Al-A'raf (7),Al-Furqan (25)
24,An-Nur,Fatir (35),Ghafir (40),Al-Baqarah (2)
25,Al-Furqan,An-Najm (53),Saba (34),Al-Anbiya (21)
26,Ash-Shu'ara,Al-A'raf (7),Hud (11),An-Naml (27)
27,An-Naml,Al-An'am (6),Hud (11),Al-Ahqaf (46)
28,Al-Qasas,Az-Zalzalah (99),At-Takwir (81),Al-Qadr (97)
29,Al-Ankabut,Ibrahim (14),An-Nahl (16),Al-Hadid (57)
30,Ar-Rum,An-Nahl (16),Yunus (10),Al-Hadid (57)
31,Luqman,Nuh (71),At-Talaq (65),At-Taghabun (64)
32,As-Sajdah,Ya-Sin (36),Nuh (71),Al-Qalam (68)
33,Al-Ahzab,Al-Hashr (59),Al-Hujurat (49),Al-Anfal (8)
34,Saba,Al-Furqan (25),Sad (38),Al-Hijr (15)
35,Fatir,An-Nur (24),Al-Baqarah (2),Ghafir (40)
36,Ya-Sin,Al-Qalam (68),Qaf (50),Az-Zukhruf (43)
37,As-Saffat,Al-Fajr (89),Ad-Duha (93),Al-Adiyat (100)
38,Sad,At-Tur (52),Saba (34),Al-Haqqah (69)
39,Az-Zumar,Ibrahim (14),Al-Ankabut (29),Ghafir (40)
40,Ghafir,Ali 'Imran (3),Al-Baqarah (2),An-Nur (24)
41,Fussilat,Az-Zukhruf (43),Hud (11),Al-Anbiya (21)
42,Ash-Shura,Ar-Ra'd (13),Al-Hadid (57),Yunus (10)
43,Az-Zukhruf,Fussilat (41),Qaf (50),Al-Kahf (18)
44,Ad-Dukhan,Yusuf (12),Maryam (19),Al-Muddaththir (74)
45,Al-Jathiyah,Al-Fil (105),Al-Masad (111),Al-Jumu'ah (62)
46,Al-Ahqaf,Yunus (10),Hud (11),An-Naml (27)
47,Muhammad,Al-Muzzammil (73),Al-Mumtahanah (60),Al-Ma'idah (5)
48,Al-Fath,Al-Anfal (8),As-Saff (61),Al-Asr (103)
49,Al-Hujurat,Al-Ahzab (33),Al-Hashr (59),Al-Anfal (8)
50,Qaf,Al-Qalam (68),Az-Zukhruf (43),Ya-Sin (36)
51,Adh-Dhariyat,An-Nazi'at (79),An-Naba (78),Al-Infitar (82)
52,At-Tur,Sad (38),Al-Haqqah (69),Al-Insan (76)
53,An-Najm,Al-Furqan (25),Saba (34),Al-Anbiya (21)
54,Al-Qamar,Al-Waqi'ah (56),Al-Mursalat (77),Al-Mutaffifin (83)
55,Ar-Rahman,Al-Ma'arij (70),An-Najm (53),Al-Furqan (25)
56,Al-Waqi'ah,Al-Mursalat (77),Al-Mutaffifin (83),Al-Qiyamah (75)
57,Al-Hadid,An-Nahl (16),Yunus (10),Ash-Shura (42)
